Station Name,Datetime,Wind_Dir_Deg,Wind_Max_mph,Air_Temp_Avg
Las Trampas,2021-05-06 02:00:00,250,21.0,50.0
Las Trampas,2021-05-06 03:00:00,260,18.0,52.0
Las Trampas,2021-05-06 04:00:00,261,18.0,48.0
Las Trampas,2021-05-06 05:00:00,260,20.0,50.0
Las Trampas,2021-05-06 06:00:00,261,18.0,51.0
Las Trampas,2021-05-06 07:00:00,255,19.0,55.0
Las Trampas,2021-05-06 08:00:00,245,17.0,56.0
Las Trampas,2021-05-06 09:00:00,240,15.0,62.0
Las Trampas,2021-05-06 10:00:00,230,19.0,63.0
Las Trampas,2021-05-06 11:00:00,232,20.0,65.0
Las Trampas,2021-05-06 12:00:00,238,18.0,70.0
Las Trampas,2021-05-06 13:00:00,242,20.0,69.0
Las Trampas,2021-05-06 14:00:00,233,23.0,65.0
Las Trampas,2021-05-06 15:00:00,232,22.0,65.0
Las Trampas,2021-05-06 16:00:00,214,22.0,62.0
Las Trampas,2021-05-06 17:00:00,233,21.0,60.0
Las Trampas,2021-05-06 18:00:00,229,22.0,53.0
Las Trampas,2021-05-06 19:00:00,241,21.0,51.0
Las Trampas,2021-05-06 20:00:00,249,30.0,50.0
Las Trampas,2021-05-06 21:00:00,247,25.0,49.0
Las Trampas,2021-05-06 22:00:00,252,24.0,50.0
Las Trampas,2021-05-06 23:00:00,231,24.0,49.0
Las Trampas,2021-05-06 00:00:00,213,21.0,49.0
Las Trampas,2021-05-05 01:00:00,305,5.0,66.0
Las Trampas,2021-05-05 02:00:00,265,5.0,66.0
Las Trampas,2021-05-05 03:00:00,300,4.0,67.0
Las Trampas,2021-05-05 04:00:00,300,3.0,68.0
Las Trampas,2021-05-05 05:00:00,73,2.0,68.0
Las Trampas,2021-05-05 06:00:00,309,2.0,73.0
Las Trampas,2021-05-05 07:00:00,357,3.0,76.0
Las Trampas,2021-05-05 08:00:00,45,8.0,75.0
Las Trampas,2021-05-05 09:00:00,35,10.0,76.0
Las Trampas,2021-05-05 10:00:00,16,7.0,79.0
Las Trampas,2021-05-05 11:00:00,1,9.0,83.0
Las Trampas,2021-05-05 12:00:00,238,16.0,89.0
Las Trampas,2021-05-05 13:00:00,241,17.0,88.0
Las Trampas,2021-05-05 14:00:00,232,18.0,86.0
Las Trampas,2021-05-05 15:00:00,243,23.0,83.0
Las Trampas,2021-05-05 16:00:00,231,25.0,78.0
Las Trampas,2021-05-05 17:00:00,223,30.0,71.0
Las Trampas,2021-05-05 18:00:00,219,32.0,65.0
Las Trampas,2021-05-05 19:00:00,234,23.0,57.0
Las Trampas,2021-05-05 20:00:00,247,16.0,57.0
Las Trampas,2021-05-05 21:00:00,266,16.0,57.0
